"大豆油墨作为新型环保油墨,在发达国家已有广泛的应用,本文主要从石油危机、环境保护的角度分析了大豆油墨产生的原因,从环保性、脱墨性、气味、可再生等四个方面分析了相对于传统油墨大豆油墨的优势,最后给出了大豆油墨在欧美、日本、中国等不同国家的应用现状,旨在推动其在中国的应用。"
"世界各国环保法规越来越严格,亚太地区也是如此,作为印刷行业使用的油墨,环保油墨将是关注的重要领域,是未来的发展方向。亚太地区油墨行业已经出现了从传统溶剂型油墨向诸如水性柔版油墨、大豆油油墨、UV油墨等环保油墨发展的趋势。环保油墨的开发和生产能力已经成为油墨制造商们未来在亚太地区致胜的关键砝码之一。"
"随着人们环境保护意识的提高,迫切需要""绿色""印刷耗材的呼声日益高涨。也正因此,绿色环保油墨正日益变成印刷油墨界的共识和共同行动。那么,当前的环保油墨真正完全
"从哥本哈根世界气候大会获悉:人类正面临可持续发展的严峻挑战,环境保护问题受到全球越来越多的关注。而油墨行业因与环境保护紧密相关,也已成为人们关注的热点问题。国内外环保油墨的发展现状自20世纪50年代开始,欧美等发达国家和地区就已经提出了绿色环保理念。如今,这一理念正以强大的影响力引导着全球油墨行业朝着""无毒、无污染""的方向发展。2000年开始,欧美和日本等"
"近日,Pira公司发布最新调查报告《环保油墨的未来——2014年市场预测》。报告显示,印刷业正在努力向可持续发展产业转型,"
"第二十六届华南国际印刷工业展览会及中国国际标签印刷技术展览会(以下简称""华南国际印刷展和中国国际标签展"")将于2019年3月4～6日在广州中国进出口商品交易会展馆A区举办,特设绿色环保柔印、标签绿色柔印、绿色标签材料等专区,汇聚行业精英,展示一连串轻量化、利于回收的材料及使用环保油墨、支持柔版及可变数据印刷、高性价比的设备,不但有助于实现绿色印刷,还能提高印企经济效益。展商带来柔印方案、绿色材"
"今年年会的主题是""成长新变量"",确实,从""要想发,做印刷""发展到如今行业大洗牌的态势,我们确实需要""新变量""帮助印刷行业转型升级。科斯伍德即是坚守着这样的初心,保持持续旺盛的创新精神,不断突破,为行业带来更多的惊喜。众所周知,每个国家都有自己的环保油墨相关法规,针对这些国家政策和法规,科斯伍德创新研发,推出了很多相关油墨,不同的油墨产品针对不同的客户。世界各地对食品包装油墨环保要求的偏好"
"随着人们生活水平的不断提高,人类生存与发展所需的食品安全问题越来越被社会公众所重视。食品包装印刷不仅要满足社会公众对美的需要,更重要的是要保证人民群众对食品安全与卫生的关注。本文通过对食品包装印刷的主要方式、食品包装绿色印刷新技术、环保绿色油墨在食品包装中的应用等问题的探讨,进一步研究了以上技术在我国的推广运用,以求对我国的绿色环保印刷提供有益参考。"
"随着《卷烟条与盒包装纸安全卫生要求》的正式实施,对于传统烟包印刷企业技改方向提出了新要求。溶剂性油墨在烟包凹印生产中使用广泛,新标准中虽然放开了对乙醇的限量要求,但溶剂残留总量限量值更低,要求更为严格。对于以大面积实地色块印刷的烟包,印刷过程中溶剂残留物的控制难度加大。以环保油墨著称的水性油墨逐步展现了优势。目的:通过印刷工艺改进,使得使用或部分使用水性油墨后,烟包印制效果基本媲美溶剂性油墨且残留物大幅降低是完全可行的。"
"乐凯华光印刷科技有限公司全印展2018展位号:N1A129华光UV墨水华光UV墨水各个系列产品均不含溶剂,100%光固化,无VOCs排放,低能耗,可真正实现绿色环保印刷,居世界领先水平。华光UV墨水适用多种不同基材,黏度、附着力、色彩还原性、固化速度、清晰度和适应性等各项关键指标可与国内外各种高端同类产品相媲美。华光UV墨水适用于赛尔(XAAR)、柯尼卡(KONICA)、"
"苏州科斯伍德油墨股份有限公司成立于2003年,是目前中国胶印油墨行业上市企业(股票代码:300192)。公司一贯秉承""高度创新能力国际知名环保油墨制造商""的发展战略,专注于高分子材料和改性植物油的研发,并将之应用于印刷油墨的生产。公司自2008年以来,产品畅销海外80多个国家和地区,销售网络遍布全球,是被发达国家认可的国际标准油墨制造企业。科斯伍德建立了严密的国际"
"上海乐易化工有限公司成立于2012年,作为全球最大丝印油墨及涂料生产商SunChemical(太阳化学)丝印油墨的中国总代理,在上海、东莞分别设立技术服务中心,全面开拓汽车、电子设备、玻璃、智能卡等市场,一直不懈努力的在国内推广UV及水性等高端环保油墨,并获得快速发展。上海乐易化工(Happybiz)本着""专业、迅速、共赢、快乐""的宗旨,积极寻求与供应商、客户、公司团队协同努力,共同发展!致力成为国内领先的高端环保油墨全套解决方案供应商!"
"聚焦于印刷行业、印刷企业,如何以绿色环保为驱动力推动自身的可持续发展,业已成为近来大家探索的主题。本文特别邀请中国印工协副理事长陆长安,就多年来从事绿色印刷工作的经验,为行业中人指点迷津。"
"进入2018年,我国经济发展向高科技领域和高质量经济转变,以供给侧结构性改革为主线,调整经济结构,加快产业优化升级势在必行。可以想象,在产能过剩危机和环保整治持续收紧的大势面前,多以中小规模为主的丝网印刷企业所承受的压力和挑战是何等巨大和严峻。2018年这些丝网印刷企业对现状有何思考?将如何度过眼前的"
"目前,""VOCs治理势在必行,不治不行""的意识;""源头削减、过程控制、末端治理全过程控制,三管齐下、重在源头""的思路;""达标排放、经济适用、成本适当""的方针,基本树立,深入人心。十九大闭幕后,在印刷业界确实""火""了一些语句,其中有一句话的被转发率很高,那就是?""绿水青山就是金山银山""。可以预见,政府对于推进绿色生态"
"环境问题是当前我国经济高速发展过程中面临的最紧迫的问题之一。随着政府及各种环保组织对绿色消费的宣传和倡导,绿色消费正逐渐成为一种自觉的消费习惯。因此,绿色包装研究也越来越得到更多学者重视。本文介绍了国内绿色包装近期在包装结构的绿色设计、包装材料的绿色研发和包装设备的绿色生产方面所做的工作。"
"分析了低碳包装设计的目标,探讨了低碳包装的5R原则,即减少材料使用、再次使用、再循环处理、获得新价值和节约能源。在此基础上,提出低碳包装设计应从选择低碳包装材料、设计低碳化的包装装潢设计和包装结构设计,使用环保油墨和绿色印刷技术以及建立配套的绿色物流体系等方面着手,以实现包装生命周期的整体低碳化,达到产品包装在设计创意、经济效益和环境保护上的统一。"
"改革开放30多年来,中国包装机械发展取得了较大的成就:一是发展速度高,产值增长快;二是品种不断增多,创新已有起步;三是标准检测工作明显提升,产学研创新模式基本形成。但还存在较大的问题:一是企业规模小,专业化程度低,经营理念落后;二是产品技术含量不高,成套装备严重依赖进口;三是设计以测绘仿制为主,创新开发能力薄弱。中国包装机械发展与世界包装强国存在较大的技术差距,与中国包装大国的地位不相称。"
"绿色包装是世界包装发展的必然趋势,也是中国由包装大国跨向包装强国最重要的发展战略。基于绿色包装的内涵与技术,概述了中国绿色包装15a来在包装材料、包装机械和包装材料安全及环境等方面所取得的成就。"
"食品安全越来越受到广泛关注,包装材料中油墨引起的食品质量问题频频发生,本文论述国内外包装油墨安全相关的法规及要求,总结国内外油墨迁移研究现状,为今后的食品包装油墨安全提供法律依据和实验指导。"
"面对全球气候变化的挑战,节能减排、低碳经济等已成为人类社会可持续发展的重要内容。对于我国印刷行业来说,使用绿色原料、实施绿色工艺的绿色印刷已经是印刷企业的共识。阐述了绿色印刷目前在国内外的发展现状,预测绿色印刷的未来发展方向将是对印刷工业废气、废液和固体废弃物的清洁、降解处理的先进环保技术,印刷废料的回收以及整个流程中的过程控制和节能减排。"
"从包装印刷行业有机物废气污染现状和治理重要性角度出发,结合行业有机废气排放控制标准,重点介绍了企业合理选址,有机溶剂挥发浓度控制,环保油墨应用以及高效干燥固化工艺等废气排放控制技术和热力氧化法、吸附法、等离子体氧化分解法以及膜分离法等有机废气末端治理实用技术。进而归纳总结了行业内有机废气排放控制与治理所面临的挑战。"
VOCs是PM25的前驱体工业生产过程产生的VOCs废气组成复杂污染物排放量高对环境造成严重危害其防治引起国内外广泛关注与研究我国近年来对此高度重视制订了一系列相关政策标准决心加强重污染行业VOCs废气的防治不同工业行业产生的VOCs废气组成浓度气量等特征差异大造成处理困难因此了解行业各自的废气特征及产生情况后做出具有针对性的处理方案至关重要研究针对合成革包装印刷漆包线橡胶制品和汽车喷涂五个重污染行业展开了调研结果表明工业VOCs废气组成复杂污染物排放总量大各行业针对污染发展了相应的技术期望通过源头治理的方式减少甚至避免VOCs污染本文以某橡胶制品企业为实例针对压延压出工段和车间环境内的VOCs分别进行了方案设计和小试研究压延压出工段废气主要污染物为非甲烷总烃臭气颗粒物和油性物质等根据国家相关政策并结合企业实际情况设计吸附浓缩焚烧工艺处理废气优化方案后做到热能回用并且根据工程需要对相关设备材料进行了选型和设计研究选用光催化技术处理车间环境VOCs以具有良好可见光响应能力的BiVO4为催化剂通过制备特殊形貌和负载改性改善其催化性能采用甲苯为模型污染物评价催化剂活性结果表明5CuO负载的空心球状钒酸铋活性最佳因此研究对催化剂进行了表征结果表明空心球状的特殊形貌和CuO与钒酸铋之间形成的异质结结构是影响催化剂降解VOCs能力最主要的因素工业VOCs废气防治迫在眉睫因此对各行业废气特征进行摸底调查并且针对性地选择优化开发和使用处理技术使污染物排放达到规定和环保要求具有重要的价值
近几年在包装界掀起了绿色包装设计的风潮绿色包装以不污染环境保持人体健康为根本充分挖掘可再生可循环使用的包装材料以节约自然资源和降低能源消耗为发展宗旨以实现地球生态环境的可持续发展为最终目的我国正处于工业化加速发展的重要阶段作为配套行业的纸包装工业也在大踏步的前进在我国食品包装中运用纸质材料占整个食品包装用料的13在纸质食品包装的绿色设计推广实践中包装设计师作为食品与生厂商市场的衔接者起到至关重要的桥梁作用在设计之初就应考虑到包装造型结构材料的环保印刷生产便于流通等各个环节的协调融合注重食品包装的环保性和对人体健康的保证等这些关键性专业问题是本文研究的主要内容其中对食品包装设计中的减量化理念的深入探讨以及绿色食品包装必有的标识是本文研究的重点倡导设计者能够真正深入涉及绿色包装的各个关键环节多层面多角度将各个设计要素进行宏观控制有机整合将食品的绿色包装设计理念和包装的功能性完美的融入到整个包装工业化生产之中使设计更具时效性可操控性和实施性避免口号理念大于实际操作的现象最终为实现节能减排低碳经济的发展为构建和谐社会节约型社会提供可行的可量化的可持续发展的设计模式
水性凹版油墨是当今最为环保的印刷油墨之一也是目前唯一被美国FDA推荐和认可的可以用于与食品直接接触的印刷油墨在我国虽然纸张印刷的水性油墨已经市场化但是在大量用于食品包装塑料薄膜印刷由于薄膜的不吸收缺点使薄膜印刷水性油墨还处于研究起步阶段本实验就是在已经市场化的仅用于吸收性纸张表面印刷的水性凹版油墨基础上通过对所开发的水性油墨所用到的颜料树脂助剂等原料从剥离强度附着力以及适合蒸煮的耐高温等方面进行优化与筛选最终开发出以丙烯酸类胶体树脂为主要研磨树脂丙烯酸改性的聚氨酯分散体胶体为主要连接料的水性复合里印耐蒸煮的凹版油墨并且使该油墨在多种不吸收的塑料薄膜如聚酯PET取向聚丙烯OPP尼龙NY等薄膜材料上顺利高速印刷并复合后完全能够达到目前同类溶剂型油墨才具有的优异印刷适性高耐热性高剥离强度高附着力等各项性能相信如果这一新型环保油墨面市后一定会给国内的食品包装市场带来一场绿色风暴
随着科学技术发展所带来的人们生产生活方式的变化传统包装正悄然发生变化在满足包装基本功能的前提下充分体现个性化消费需求彰显人文关怀和拓展产品功能的智能化包装逐步兴起这类包装是建立在综合运用现代智能材料智能技术智能结构等先进设计元素的基础上增强包装的保护功能和最大限度地满足和便利消费者的特殊需求文章结合中外智能化包装设计案例通过对智能化包装技术原理的诠释试图就智能化包装设计方法进行系统探索努力构建智能化包装设计理论体系首先在阐述智能化包装发展概况与背景的基础上对智能化包装的概念进行了重构并据此对智能化包装进行了新的分类及阐述其次对影响智能化包装设计的主要因素进行分析主要从智能技术智能材料与智能结构等三个主要方面着手阐述其特征及其对构成智能化包装的重要作用与影响再次针对智能化包装的特点总结和提炼了智能化包装设计中的某些规律性提取了出若干个关键性步骤综合这些方法与步骤将其归结为析解组借创五个方面来考察与审视智能化包装作为包装领域中一种新的理念与新材料新技术结合的产物具有诸多优势与人性化特点但依然存在技术研发成本标准及受众接受力等问题需要从人才平台及学科建设及良性倡导等方面努力以不断促进智能化包装的良性健康发展
UV固化油墨因其具有环保高效节能等优点而得到越来越广泛的应用而聚乙烯PE是最常用的塑料之一其结构规整表面张力低一般油墨很难在其上产生良好的附着本文从光引发剂低聚物单体填料等多个方面系统研究了油墨组成对固化速度附着力硬度柔韧性和耐化学溶剂等性能的影响使用紫外可见分光光度计测得了红黄蓝紫白黑六种颜料的紫外吸收图谱通过指压法和指抠法研究了多种光引发剂对含有不同颜料的UV油墨的引发速度的影响结果显示不同颜色的颜料对紫外光的吸收区域和吸收强度是不同的对于黄色油墨907的引发效果最佳对于蓝色油墨907ITXEDAB和910ITXEDAB都具有很高的引发速度而对于红色油墨和紫色油墨907ITXEDAB则是速度最高的引发剂组合808184和907ITXEDAB819则分别是白色和黑色油墨的最佳引发剂通过对比不同种类的低聚物得出聚酯丙烯酸酯类低聚物对PE基材具有比较好的附着力并进一步优化了其组合通过附着力测试实验得出低官能度低表面张力的单体可以进一步促进油墨在PE基材上的附着力使用铅笔硬度计和漆膜柔韧性测试仪研究了低聚物单体和填料对硬度和柔韧性的影响双酚A环氧丙烯酸酯和高官能度聚氨酯丙烯酸酯以及高官能度单体和高硬度填料均可明显增加漆膜硬度这些物质同样也可使油墨的耐化学溶剂性能提高除此之外添加微蜡粉也能有效提高耐化学溶剂性
包装油墨中的有毒有害物质可通过迁移进入内装食品从而危害人体健康增塑剂塑化剂是油墨中所必需的助剂近来邻苯二甲酸酯类增塑剂所引起的食品安全问题得到人们越来越广泛的关注和重视论文就纸包装油墨中增塑剂的迁移问题进行了系统研究建立了纸张真实油墨中污染物的迁移预测模型实验得出了油墨中增塑剂向食品及食品模拟物的迁移行为主要内容包括1迁移预测模型的建立结合油墨在纸张中的渗透基于Fick扩散建立了纸包装油墨中污染物的迁移模型模型将印张分为油墨层和纸张层初始时刻纸张层的污染物浓度成梯度分布并在食品纸张界面考虑传质系数hm和分配系数KFP通过分离变量法求得了模型的解析解讨论了油墨渗透深度L1污染物初始浓度CP0污染物在纸张内的扩散系数DP传质系数和分配系数纸张厚度L2或L3对迁移行为的影响2纸包装油墨中增塑剂的迁移实验研究选定油墨中使用较广泛的邻苯二甲酸酯类增塑剂邻苯二甲酸二2乙基己基酯DEHP邻苯二甲酸二丁酯DBP邻苯二甲酸二正辛酯DOP以及近年来提倡的环保增塑剂乙酰柠檬酸三丁酯ATBC为研究对象建立了奶粉食品模拟物Tenax改良聚苯醚MPPO及纸张油墨中增塑剂的乙醇溶液振荡及超声的提取方法及GCFID气相色谱氢火焰离子化检测器gaschromatographyflameionizationdetection检测条件提出了适于迁移的真实油墨样张的实验室制备方法实验研究了255070和100下纸张真实油墨中四种增塑剂向Tenax和奶粉的迁移讨论了纸张克重油墨初始量温度增塑剂分子量及分子结构等因素对迁移行为的影响结果表明前处理方法成本低环保且回收率在7121134之间检测方法能在13分钟内一次性检测四种增塑剂且相互分离度在1分钟左右印制后的样张中增塑剂含量均匀相对标准偏差在1159之间迁移结果显示Tenax中增塑剂的最大迁移量为213592奶粉中的最大迁移量在67678之间在此基础上实验研究了微波条件下纸包装油墨中增塑剂的迁移以实际使用条件为基础分别考查了100250440600和900瓦W五个功率下四种增塑剂向Tenax和奶粉的迁移讨论了迁移影响因素并与常规条件下的迁移结果进行比较结果显示微波功率及迁移时间增塑剂与纸张的亲疏性食品特性等因素均影响迁移行为微波加热条件下增塑剂比常规加热条件下更易于在短时间内发生迁移3迁移预测模型的有效性及实验值与预测值的对比分析简化后的单层模型与经典的考虑传质系数的Crank扩散模型的结果相同验证了迁移模型的有效性并将模型简化为单层模型及双层模型时分别与实验数据进行比较验证进一步讨论了预测模型的通用性选定DBP根据实验参数和结果通过迁移模型拟合出5070和100的传质系数和扩散系数得出它们的对数值与温度接近线性关系将拟合得到的传质系数和扩散系数用于不同初始浓度的迁移行为的预测也插值计算出其它温度的传质系数和扩散系数用于模型预测并与实验值进行比较结果表明模型预测值与实验值较吻合扩散系数的经验公式不能反映分子极性对迁移行为的影响可选取合适的传质系数来提高DEHPDOP和ATBC的预测精度
21世纪随着科学技术的迅猛发展新知识新观念新技术层出不穷人类进入数字时代因特网作为数字时代下两颗明星中的一颗熠熠生辉而以网络为载体的信息方式传达开始多样化多媒体传播时代到来以及我们的读者所经历的环境变化电子书微博博客SNS社区网络给书籍带来了巨大的冲击也必将引发数字时代背景下对书籍未来发来发展趋势的思考书籍是人类文化传播的载体是人类进步的阶梯是人们进行思想交流的方式在数字化时代的今天除传统纸质书籍之外电子书籍也大行其道充斥着人们的眼球这使得书籍从二维平面的印刷品变成了交互动态的多元化媒介书籍的载体发生了变化也给读者带来了新的视觉盛宴更新观念深入探讨数字时代下的书籍形态的多样性是对高科技产品带来高压下的有力缓冲我们无法预计书籍的生命力还有多久但我们坚信只要人类的文化继续薪火相传书籍就不会消失而是还需要继续传承与进取本文通过对数字时代下书籍现状分析将电子书籍与传统纸质书籍进行比较寻找二者优劣及异同分析数字时代背景下新兴的电子阅读方式电子书及电子阅读器的盛行并找出未来电子书籍的设计方法最后探讨书籍设计形态的多样性及发展趋势
"随着我国印刷行业产业结构的调整和生产工艺的革新,印刷技术发生了巨大变化,从铅与火的时代走进了光与电的时代,印刷过程的工艺流程、物料使用和产品结构都发生了巨大变化,随之印刷作业中潜在的职业危害因素也发生了一定变化。本文分析了现阶段影响印刷作业人员健康的尘毒职业危害因素,指出了尘毒职业危害的分布情况,并且针对不同类型企业,提出了适宜的防治措施,以期达到在实际中能切实降低或消除印刷行业尘毒职业危害的目的。"
"主要阐述了包装印刷工业在印刷材料及生产工艺过程中如何造成环境的污染,并针对各项污染提出了相应的治理措施,对包装印刷工业的可持续发展具有指导意义。"
"介绍了一种富马酸改性松香水性树脂的合成方法。产品由天然松香通过富马酸加成改性,再与季戊四醇发生酯化反应而成。通过单因素和正交实验优化合成工艺条件,筛选得到优化工艺条件为n(松香)∶n(富马酸)∶n(季戊四酸)=50∶11∶6,催化剂用量为松香的0.15%,加成温度160±5°C、反应时间为3h;酯化温度200±5°C、反应时间为1.5h。在此条件下可得到有较高软化温度、各种溶解性好、综合性能优良的水性树脂。"
"食品包装材料迁移引起的食品安全危害日趋突出。国家有关部门应当进一步完善食品包装材料的安全性标准,建立科学的食品包装材料安全体系,实施良好的生产管理规范,严格市场准入制度和监管机制,并在此基础上,应用新型环保无苯型增塑剂、无苯无酮环保型油墨、聚对苯二甲酸乙二酯和聚丙烯等新材料,同时采用活性包装、抗菌包装、用氧化法漂白替代含氯物质漂白等新技术,从根本上提高我国食品包装材料的安全性。"
"环境污染问题已成为阻碍新世纪包装印刷工业持续发展的大问题。研究了各种包装印刷工艺的环境特性,并研究了包装印刷材料中油墨的环境性能问题,最后探讨了发展绿色包装印刷的五条措施。"
"研究LED-UV油墨在国内外的研究现状,包括LED-UV油墨制备配方及方法,光引发剂及预聚物的改性研究,以及光引发剂与颜料的""光谱窗口""的匹配研究等。提出在夺氢型光引发剂中加入小分子巯基化合物,缓解光氧阻聚作用;合成超支化聚氨酯丙烯酸酯作为LED-UV油墨的预聚物,实现UV油墨在LED光源下迅速固化;以及光引发剂与颜料""光谱视窗""研究方向等。"
"聚氨酯具有无毒、不易污染环境、附着力好等优点,在环保水性油墨中已显示出优异的应用价值,其研究正受到人们的关注。简述了用合成单体和农副产品等对水性聚氨酯连结料的改性研究进展,以及水性聚氨酯连结料在油墨生产中对着色剂、助剂和分散剂的选择,展望了聚氨酯作为水墨连结料未来发展方向,为聚氨酯在水性油墨中的应用研究提供参考。"
"当前,全世界的印刷企业及相关行业都在提倡环保、关注环保,绿色印刷材料和无公害印刷方式的研发和生产已逐步开始实施。"
"未来我国经济必将进行转型升级,油墨必须要走可持续发展路线,推广环保新工艺、新技术、新材料的""绿色油墨""正成为油墨行业的共识。当前,环境问题日益突出,自2012年以来,雾霾发生的频率越来越高,到2014年,雾霾已经成为国家不得不重视的环境问题,而这都是大气污染的直接后果。所以,国家出台了《大气污染防治行动计划》对大气污染问题进行治理,而北京作为首都成为全国治理大气污染的排头兵,北京市环保局和北京市质量技术监督局联合发布《印刷业挥发性有机物排放标准》,并且为全文强制,规定从2015年7月1日起正式实施,北京市印刷业关于挥发性有机物排放标准有了新的严格标准,毫无疑问这将促进与此相关的绿色版块的发展。业内人士都知道,在印刷过程中,油墨的使用是污"
"随着我国商品包装水平的不断提高,装潢印刷在食品、药品包装上的应用越来越普遍了。其中以塑料、纸为基材的软包装使用比例占各类包装材料种类的80%以上。在这些软包装中,包装印刷油墨以及其他辅助物质要占到整个软包装材料的20%左右。"
"了解油墨的人都知道通常使用的油墨中都含有对人体和环境有害的化学物质,在环保意识逐渐增强的今天对油墨的发展有了更高标准的要求。目前的油墨市场已经开始向环保方向发展,并逐步出现了诸如水性油墨、大豆油油墨、UV油墨这样的环保油墨。而且环保油墨的开发和生产能力已经成"
"油墨是印刷行业的主要耗材,根据油墨组分及含量、承印物、用途、印刷设备、印刷方式和使用方法等可分为多个种类。现有的多数油墨中大多都要含有有机(或无机)溶剂、颜料等,不符合环保绿色印刷的要求。现如今,"
"《今日印刷》:大兴油墨化工(香港)有限公司是一家专业从事印刷材料、油墨开发、研究及销售于一体的港资企业,为了让读者更好地了解贵公司,请详细介绍一下贵公司近年来的发展情况。大兴油墨公司:大兴油墨公司(香港)有限公司成立于20世纪80年代初,总部设在香港。近十年来,公司更锐意开拓中国国内市场,已在深圳、广州、上海相继成立分公"
" 目前,在纸板包装和其它相应的印刷工业方面,人们对使用植物油墨比使用石油分馏油墨更有兴趣。这并不是一个新的想法。追溯到四十年代早期,印刷油墨生产者成功地在活版印刷油墨方面用从植物中分离出来的植物油代替了石油,采取这一做法的理由"
"在人类发展进程中,世界文明先后经历了农业文明、工业文明和信息化三次浪潮,每次浪潮都有不同的显著内涵和特点。例如,农业文明的浪潮实现人类农耕文明的兴起,带动农业的辉煌发展;工业文明的浪潮使农业文明向工业文明转变,带来工业化的飞速发展;信息化的浪潮引领着信息化改革,使全球进入知识经济时代。"
"随着可持续发展理念深入人心,资源、环境、健康等问题逐步成为社会经济发展的主要关注点,印刷产品在日常生活中随处可见,其产生的污染也不容小觑,绿色环保已成为印刷行业发展的主要目标。一、绿色印刷概述1.绿色印刷的概念环境问题是现代社会比较关注的问题之一,如今全球人类的居住环境正在不断受到损坏,这关系到我"
"本文对包装印刷产品中几种环保油墨的应用进行了详细介绍,并对绿色包装技术的应用进行分析,基于环保视角对包装印刷技术的发展趋势提出了几点个人看法,以供参考。包装印刷产品中环保油墨的应用1.水性油墨的应用就环保而言,水性油墨的应用具有十分重要的意义。它通过水作为溶剂,对环境与人体健康都不会构成威胁。此外,水性油墨的应用能够使由于易挥发性或易燃溶剂而"
研究了植物油改性醇酸树脂的合成工艺。探讨了不同醇酸树脂及催干剂对金属印刷油墨性能的影响。
"挥发性有机化合物简称VOC(Volatile Organic Compounds),一般是作为溶剂使用后而散发到大气中的。VOC的成分复杂,具有的特殊气味能导致人体呈现种种不适应,并具有毒性、刺激性、致癌作用。如苯列为可疑潜在致癌物质。卤代烃类物质能引起神衰征候群及血小板减少、肝功能下降、肝脾肿大等病变,还可能导致癌症。CFC类物质对大气臭氧层有破坏作用。所有这些促使世界各国尤其是发达国家纷纷颁布法律对VOC的排放进行控制。"
"苏州科斯伍德油墨股份有限公司于近期收到中华人民共和国国家知识产权局颁发的《发明专利证书》。本发明涉及一种防菌抑菌的油性油墨,所述防菌抑菌的油性油墨含有重量百分比为0.0005%~10%的植物挥发油。本发明通过将抗菌抑菌的植物挥发油添加到油性油墨,并对油性油墨的配方进行了适应性改进,提出了防菌抑菌的油性油墨。"
"大豆油油墨采用了可再生的大豆油作为原料,大大节省了全球石油资源,具有鲜明的环境保护的优点。将其应用于印刷生产中,使油墨污染程度降到最低程度,符合了世界环境保护的要求,是造福全人类的一项先进技术。本文介绍了环保型大豆油油墨的特点、发展及其应用。"
