荧光 特性 应用 发展趋势,"本文主要介绍目前新型荧光材料的荧光特性 ,着重介绍了荧光材料在农业、工业、医药学方面的应用 ,并探讨了新型荧光材料的研究及发展趋势"
UV油墨 碳黑颜料 固化速度,"由于颜料对紫外光的吸收作用 ,影响了光引发剂的光引发效率 ,因此它对UV油墨的固化速度有着很大的影响。本文采用不同的碳黑颜料在不同用量的情况下与不同的光引发剂配制丝印UV油墨 ,通过对油墨的印刷密度和固化速度的测试 ,研究了不同种类的碳黑颜料对UV油墨固化速度的影响。"
UV油墨 UV固化 光引发剂 颜料 固化速度 光谱吸收曲线 印刷密度,UV油墨由于干燥速度快无污染印刷质量高等优点在印刷行业正在被越来越广泛的应用在UV油墨中固化速度是一个比较重要的问题UV油墨的固化是依靠光引发剂吸收辐射能后形成自由基或阳离子引发单体和预聚物发生聚合交联和接枝反应形成交联的立体网状结构的高分子聚合物从而使油墨固化另外由于油墨含有颜料而不同的颜料对紫外光也有不同程度的吸收反射和散射从而影响油墨的固化速度所以无论是光引发剂还是颜料它们对UV油墨的固化速度都有着很重要的影响本论文利用了9种光引发剂11种颜料在相同的条件下改变光引发剂颜料的种类及用量配制四色丝印UV油墨测试了所用颜料的光谱吸收曲线配制油墨的固化速度以及在改变颜料时的印刷密度研究了光引发剂颜料对于UV油墨的固化速度的影响研究结果表明光引发剂颜料对UV油墨的固化速度的影响很大要提高UV油墨的固化速度首先必须选择好光引发剂和颜料的种类这是非常重要的光引发剂吸收光谱要与光源的辐射光谱相匹配同时应与油墨的颜料相匹配即光引发剂的吸收峰尽可能在颜料光谱窗弱吸收范围内颜料对UV油墨固化速度的影响主要由于它对紫外光的吸收不同种类的颜料对UV油墨固化速度的影响是不同的颜色的影响尤为严重UV油墨固化速度的顺序依次为品红墨黄墨青墨黑墨油墨中光引发剂颜料的含量要适量颜料的含量应在保证印刷密度的前提条件下越低越好通过本论文的实验可以得到光引发剂819与BK2碳黑颜料匹配最佳最佳颜料的含量约为7光引发剂ITX与C3酞菁蓝颜料匹配最佳最佳颜料的含量约为6光引发剂ITX与Y2联苯胺黄颜料匹配最佳最佳颜料的含量约为6光引发剂ITX与M四色版宝红颜料匹配最佳最佳颜料的含量约为6运用本论文的研究结果配制UV丝印光盘油墨由油墨生产厂进行中试并在光盘印刷厂进行印刷通过对研制的油墨的性能印刷质量与同类进口墨相比较结果表明研制的油墨的固化速度以及印刷性能印刷质量都很好北京化工大学硕士学位论文完全可替代进口油墨关键词UV油墨UV固化光引发剂颜料固化速度光谱吸收曲线印刷密度
消泡剂 表面张力 水基油墨,"分析水基油墨出现泡沫的原因、对印刷质量的影响及消除途径 ,并通过实验找到了适用的消泡剂型号 ,指出当加入量为 0 .3 %～ 0 .5 %时消泡效果为佳"
紫外光 辐射固化 多官能团单体 低聚物 光引发剂,"涂层紫外光固化技术由于在能源节省、产品质量以及环保方面的优势 ,正在不断的迅速发展 .本文综述了近年来辐照设备的进步 ,以及紫外光固化体系所涉及的单体、齐聚体和光引发剂的研究发展情况"
UV固化技术 辐射固化 涂料 稀释单体 预聚体,"由于UV固化技术固有的特点使其在近几年各个领域都获得了高速的发展,但所占市场份额仍然很小。经过学术界和各大公司的努力,目前已经在UV固化材料方面取得了可喜的成绩。稀释单体、预聚体在数量和质量上都有大幅度增加,发展方向是降低刺激性、低毒和赋予特殊功能:在双光子引发自由基聚合、阳离子光固化、杂混光固化、光产碱催化聚合、无光引发剂光固化、水基固化方面取得了一定的进展;UV粉末涂料克服了传统粉末涂料的缺点脱颖而出,成为近年来研究开发的热点;UV固化纳米材料更是集纳米技术、纳米材料、UV固化技术于一体,预计将会开发出具有特殊功能的新材料;UV固化技术在电子、信息领域也具有很好的发展前景。"
稀土 发光材料 激光材料 荧光探针,"近年来 ,稀土元素及其化合物已成为现代尖端科技领域不可缺少的特殊材料 ,本文就其发光特性和应用作一介绍"
喷墨打印 按需喷墨 色彩管理系统 连续喷墨 喷墨技术 印刷色彩 新闻纸 压电原理 直接加热 传送系统," 现今的喷墨打印系统具备了模拟报纸印刷色彩所需的各种要素—— 可以在新闻纸上做出玫瑰网纹,再借助先进的色彩管理系统就能准确匹配色彩。 连续喷墨和按需喷墨是两种主要喷墨技术,前者可不间断喷射墨流,后者则是高速按需喷墨。"
阳离子型絮凝剂 有机絮凝剂 高分子絮凝剂 水处理,"絮凝剂是絮凝法水处理技术的核心 ,目前阳离子高分子絮凝剂作为龙头产品受到人们广泛关注。就国内外阳离子有机絮凝剂的研究开发和应用进行评述 ,内容涉及阳离子型聚丙烯酰胺接枝共聚物、羟基醚化类、烷基烯丙基卤化铵类和环氧氯丙烷与胺反应物 ,特别是淀粉等天然高分子改性阳离子型絮凝剂和人工合成的无毒有机阳离子高分子絮凝剂"
酶制剂 工业 应用,"综述了国内外酶制剂工业生产的安全卫生管理 ,以及酶制剂在食品、纺织、造纸等工业领域中应用的进展"
紫外光固化UV固化油墨 自由基光固化油墨 阳离子光固化油墨 混杂光固化油墨,紫外光固化UV固化技术应用于涂料油墨粘合剂等领域高效节能无环境污染且产品性能优异为行内竞相开发的新技术本文根据UV固化机理对自由基阳离子及自由基阳离子混杂体系油墨进行了研究并自行合成了自由基体系油墨的粘结料环氧丙烯酸酯EA和聚氨酯丙烯酸酯PUA在自由基体系中实验着重于引发剂与颜料的紫外吸收波长配伍在测定了四种基本颜色各自紫外吸收波长的基础上寻找出与不同颜色体系相匹配的引发剂配方得出用于红黄兰黑色油墨的引发剂分别为I369I819I180OITXI369自由基体系油墨粘度为21002200cP固化温度80固化时间为086S附着力7086丙酮擦拭20O次铅笔硬度为H2H在阳离子体系中出于降低成本的考虑实验选用了较便宜的双酚A环氧树脂为粘结料探索了与其它原料的配比筛选出E5lUVR6128polyol0301UVI6974的最佳阳离子油墨配方阳离子油墨粘度为1280180OcP固化温度80固化时间为1336S附着力100丙酮擦拭200次铅笔硬度为HB2H自由基和阳离子体系油墨的性能均达到或超过了相关技术指标在自由基和阳离子油墨优化配方的基础上本文通过改变两体系的配比进行了自由基阳离子混杂体系油墨配方的探索混杂体系油墨粘度为15802100cP固化温度80固化时间0823S附着力85100丙酮擦拭108200次铅笔硬度为H2H固化后的混杂体系涂层固化速度界于自由基与阳离子体系固化速度之间价格适中但附着力和耐溶剂性欠佳有待进一步研究建议改变混杂体系中的树脂连接料采用同一分子上既有丙烯酸酯官能团又有环氧官能团的单体
UV油墨 环保型 工艺参数 网版制作 光固油墨 印刷器材 承印物 感光胶层 锐利度 色密度,"本文作者概述了现今广告中油墨应用的现状,并特别推荐了美国HUOOO系列水性UV光固油墨,介绍了其特征、工艺参数及在使用中应注意的问题。"
印刷油墨 柔性版印刷 水性油墨 珠光效果 UV油墨 网纹辊 珠光油墨 柔版印刷 醇溶性油墨 干燥速度,"本文对环保的柔性版印刷、水性柔版油墨进行了系统的介绍,并在文末重点阐述了珠光柔性水墨的使用方法和注意事项。"
苯 有机废气 复方液吸收法,"低浓度苯类有机废气的常用处理方法有催化燃烧法、活性炭吸附法、微生物处理法及吸收法等 ,其中吸收法投资费用少 ,运行成本低 ,在中小型企业中得到广泛应用。文章结合具体应用实例 ,在传统吸收法的基础上 ,针对低浓度苯类有机废气提出了一种新的复方液吸收法 ,提高了吸收效率 ,使低浓度苯类废气的净化处理效率达到 87.5 %。该项技术具有投资省、运行成本低、净化效率高、易操作等特点 ,有很好的推广应用价值"
热转印印刷机 医用产品 数字系统 包装印刷 柔印技术 柔印工艺 可变信息 印版 印刷工艺 柔印机,"柔印工艺目前被广泛应用于药品软包装产品的生产中。随着热转印数字印刷的发展。柔印工艺遭遇到了挑战。本文针对传统柔印工艺与数字印刷工艺之特点,阐述了二者的利弊。"
网点扩大 典型故障分析 柔性版印刷 故障统计 印版 硬度 承印物 印刷方式 包装印刷 感光树脂版,"本文作者对柔性版印刷中出现几率最大的故障——网点扩大进行了多方面的分析和统计,并针对其成因超出了相应的解决方法。"
中国市场 生产基地 经销商 普通型 公司 油墨制造 丝网印刷 水性 市场推广 合成纸," 美国丽色达公司最近加大了水性UV油墨在中国市场的推广力度。美国丽色达公司是北美最大的丝网印刷油墨制造商,在北美,丽色达有5家生产基地,在全球有50多家经销商。丽色达公司在中国市场主要推广其普通型的"
稀土 无机光致发光材料 有机光致发光材料 荧光灯 长余辉材料,"本文就稀土光致发光材料进行了分类 ,对其发光特性作了简要介绍 ,综述了其开发与应用的历史与现状 ,并介绍了其目前在各个领域的应用产品 ."
包装印刷市场 凹印机 柔印机 瓦楞纸印刷 生产线 市场占有率 印刷工艺 技术条件 标签印刷 纸盒包装,"本文将柔印、凹印在国内外的应用现状进行对比,充分肯定了其广阔的可开发空间。"
包装印刷 油墨 环境性能 绿色化,"环境污染问题已成为阻碍新世纪包装印刷工业持续发展的大问题。研究了各种包装印刷工艺的环境特性,并研究了包装印刷材料中油墨的环境性能问题,最后探讨了发展绿色包装印刷的五条措施。"
絮凝剂 形态分布 混凝 设备 设计理论 废水处理 分形 模型,气浮设备和絮凝剂是气浮净水技术的核心研究新型复合聚硅硫酸铁铝絮凝剂及CAF涡凹气浮设备将解决实际问题具有十分重要的现实意义用钛白废酸和粉煤灰为原料设计出一条新工艺流程制取新型复合聚硅硫酸铁铝PFASSi其最佳工艺条件为当酸浸时间为15hNaCl助溶剂与粉煤灰的质量比例为0051固液比为110浸取温度为90时铝的酸浸取率最大可达3926当碱浸时间为2h浸取碱液浓度为5molL固液比为110浸取温度为90时硅的碱浸取率最大可达3588在常压40的条件下以NaNO_2为催化剂空气为氧化剂KI为助催化剂氧化反应时间为2h以氧化聚合一步法制取聚合硫酸铁铝然后加入聚合硅酸复合即可制得聚硅硫酸铁铝的红棕色液体产品在混凝处理焦化废水滇池含藻水和三种再生造纸废水时与PACPFS相比PFASSi具有用量少沉降速度快费用低对藻类油CODcrSS色度或浊度的净化效率高适用的pH值范围较宽等优点PFASSi的形态分布和混凝研究表明针对不同的废水研究开发了不同的专一复合PFASSi絮凝剂它的最优技术指标为B1520FeAlSi或FeAl摩尔比均为101pH为2040论文初步建立了CAF涡凹型气浮机工作及设计计算理论体系设计制作了小型CAF样机同时采用PFASSi絮凝剂为主要絮凝剂对四种废水进行了气浮净水试验研究结果表明用小型CAF样机气浮处理滇池含藻水两种再生造纸废水以及焦化废水预处理是可行的具有用药量低气浮时间短净化效果好的优点除藻率和除油率分别可达99和998SS和浊度的净化效率分别可达96和92以上预处理焦化废水时COD的净化效率可达565气浮除藻后的水可作为工业用水再生造纸废水处理后可回用单独使用絮凝剂时无机絮凝剂的净化效果顺序为PFASSiPFSPAC复配药剂的处理效果要优于单一用药而且无机与有机絮凝剂配合使用有利于降低药耗和提高净水效果应用分形理论研究分析PFASSi及与PAM复合处理废水时生成的絮体的形成生长和不规则程度生成的絮体分形维数为153165或155173解释了混凝过程的吸附架桥沉淀网捕作用机理和气浮过程的凝聚絮粒与气泡粘附及上浮作用机理建立了絮体生成的DLA分形模型V_nknup经过理论推理建立了理想化的气浮絮体分形模型其分形维数为提高结合气浮絮粒的个数n有利于提高分维D_f和气浮效率将无机高分子和有机高分子絮凝剂复合使用通过CAF气浮机叶轮或涡轮的长时间高强度机械搅拌使气浮絮体发生脱水收缩促进致密型气浮絮体的生成气浮效果更好
大豆油 印刷油墨 挥发性有机化合物 新成员 替代品 芳香族化合物 印刷质量 单张纸胶印机 资源保护对策 数字印刷机,"什么是大豆油墨印刷油墨的原料主要由树脂、颜料、溶剂组成。使用石油系溶剂的现有的油墨含有对人体颇为有害的芳香族化合物成份,并且还可能产生挥发性有机化合物—ＶＯＣ。作为其替代品的需求近年来不断增加。其替代品分两类,即芬香族成份小于"
消失模涂料 凹凸棒粘土 流变性,"利用差热分析、电子显微镜、X射线衍射、红外吸收光谱等手段测试分析了安徽凹凸棒粘土的理化性能 ,并利用NXS -11型旋转粘度计研究了凹凸棒粘土与膨润土对消失模涂料流变行为的影响 .结果表明 :安徽凹凸棒粘土是一种成分较纯的凹凸棒粘土 .凹凸棒粘土比膨润土更有利于改善消失模涂料的流变性 .消失模水基涂料中加入质量分数为 2 %的凹凸棒粘土可以使涂料的流变性大为提高 .自研的消失模涂料的流变曲线特征参数分别为 :τ0 =9.8Pa ,K =2 .9,m =0 .6 4,其流变性可与美国Ashland消失模涂料相媲美"
辐射固化材料 光固化 UV/EB固化,"介绍近年来UV/EB固化材料的发展进展 ,其中包括北美、欧洲、日本的发展概况和重大的新进展 :(1)稀释单体和预聚体 ;(2 )水基UV/EB固化 ;(3)阳离子光固化 ;(4)辐射固化粉末涂料 ;(5 )复合固化体系 ;(6 )UV固化纳米涂料 ;(7)光引发剂 ;(8)计算机直接制版"
乙二醇醚 市场需求 生产技术 进展,"综述了国外乙二醇醚类的市场概况和生产技术,还介绍了我国乙二醇醚类的市场需求及生产技术新进展。"
水基油墨 稳定性 抗水性 光泽度 连结料 溶剂型油墨,水基油墨简称水墨以其环保卫生经济节省能源和具有良好的印刷适性等优点在印刷行业中越来越倍受青睐然而目前国内水墨普遍存在着稳定性抗水性和光泽度差的问题严重阻碍了水墨的普及推广使用本文正是针对这一实际现状着手进行研究水墨是以水作为溶剂的这就决定了其连结料的选择只能局限在水溶性或水分散性的范围内从而导致了水墨的特性和传统的溶剂型油墨存在着较大的差异论文立足在对水墨的结构体系和使用机理的正确认识基础上针对影响水墨稳定性抗水性和光泽度的因素进行了系统的分析通过实验对水墨的最基本配方进行了研究和测试结合前面的理论分析在提高稳定性抗水性和光泽度的前提下不断调整水墨配方并对其结果进行了比较和分析实验表明水墨的分散稳定有助于提高稳定性抗水性和光泽度增稠剂能有效提高体系的黏度有助于分散温度会影响黏度对稳定性不利水墨的含水量和表面张力会对光泽度产生较大的影响胺类物质能协调体系的稳定性和抗水性乳液树脂既起到树脂的作用又充当表面活性剂的角色对提高稳定性抗水性和光泽度都十分有效
,水基油墨由于适应环保要求降低了或消除了有机排放物并具有稳定性和低燃性质近年来已成为油墨界的开发重点本课题的研究目标是研制开发新一代的高档瓦楞纸箱水基油墨本文以黑墨为主要研制对象确立了使用碱溶性树脂液分散颜料然后使用水溶性的聚合物乳液调稀获得预期性能的水墨分散体系水墨分散的研制实验表明分散体的质量和稳定性主要有赖于体系中使用的分散树脂和颜料自身的特性及其相互作用的程度而且与分散介质的粘度有关实验证明了颜料树脂比即颜基比很大程度上影响水溶性聚合物对颜料的分散效果即其对着色力规则遮盖力的影响进一步的实验表明了具高固低粘的树脂润湿分散剂和消泡剂均可能因能降低体系的粘度从而影响分散效果通过对水墨的调稀实验研究了影响水墨最终使用性能如粘度泡沫干燥性能等的主要因素根据乳液聚合物具有高固低粘的特性并且具有如高光快干但对颜料润湿性及稳定性较差等特点我们确定了拼混使用不同聚合物的方法获得了较好的应用性能另外我们还研究了蜡分散剂和消泡剂胺化试剂等助剂类原材料对水墨制备及其性能的影响研究结果表明拼混使用不同类型的胺化试剂可有助于获得最佳的应用性能另外我们还发现合适的蜡分散体在提高水墨墨膜爽滑和耐磨性能的同时不会导致光泽的下降和稳泡作用通过对水基油墨制备配方和工艺及其影响因素的系统研究优选出水墨各组分确定了较佳的配方和制备工艺成功地研制开发出新一代高档水基柔版纸箱油墨
织物 涂层剂 制备 应用性能,"简介了织物涂层整理剂的发展历史和分类,评述了聚丙烯酸酯、聚氨酯和有机硅涂层胶的结构、特点、制备和应用性能,预测了涂层剂的发展趋势"
油墨 紫外线固化 网版印刷,"综述了紫外线固化油墨(UV油墨)的基本概念和成膜原理,UV油墨和传统油墨的组成比较,优势比较,介绍了影响UV油墨固化性能的因素及使用方法和注意事项,对UV油墨的市场作了预测。"
废纸制浆 浮选脱墨 筛选 漂白 胶粘物,"介绍了20世纪90年代以来废纸制浆理论与技术方面的研究进展。主要着重在废纸碎解理论与技术,废纸浆浮选脱墨和筛选理论与技术,原生胶粘物和再生胶粘物的来源、特性和控制的理论与技术以及废纸浆漂白技术等方面进行了系统而简要的介绍。"
松香 改性 酯化,"本文综述了近年来松香改性的研究进展情况 ,对其进行了分类阐述 ,即基于羧基的改性、基于双键的改性、基于羧基和双键的改性以及其它方面的改性 ,并展望了此领域的发展趋势和前景。"
紫外光固化 积层电路板 环氧丙烯酸酯 碱溶性感光树脂 感光成像油墨 混杂聚合,在整个涂料工业中紫外线UV固化技术是发展最为迅猛的领域UV固化技术具有低毒性原料价格便宜固化速度快配方简单和操作方便等诸多优点本文对光化学光聚合光引发剂光敏树脂UV固化等的研究进展进行了综述采用UV固化技术可以使含有不饱和官能团的活性单体预聚物在光引发剂的作用下进行光聚合反应发生交联光引发剂主要起到吸收光能并经过化学变化产生活性中间体的作用常见的光引发剂可以分为阳离子型和自由基型两大类积层印制电路板简称积层板是由独立的印制电路板或内层间被绝缘材料分隔的电路板组成内层的电路依靠普通孔和电镀通孔进行连接积层板的电路是三维排列的与传统印制电路板相比极大地节省了空间因为后者最多只能排布两层电路即双面板积层板微孔的制作方法包括激光钻孔光致蚀孔和等离子体蚀孔法在本研究中采用一种不仅能光致成像而且能硬化成为永久绝缘材料的UV油墨来形成积层板的内层UV油墨可用多种方法涂布如丝网印刷静电喷涂帘涂等涂布UV油墨后将板进行曝光再用适当的显影剂显影将已曝光或未曝光的部分洗掉显影后进行蚀刻蚀刻液可以是碱性蚀刻液或是酸性的氯化铜或氯化亚铜溶液可将脱去抗蚀层的金属层蚀刻掉UV油墨不是在曝光显影和蚀刻后被剥离而是作为一种预浸物的补充物或取代物留在内层上形成内层间的绝缘层采用光差扫描量热法DPC来监测环氧丙烯酸酯体系的光固化动力学讨论了反应的影响因素利用DPC数据计算出反应速率与各种影响因素的关系光引发剂的浓度指数小于05单体浓度指数介于1和2之间环氧丙烯酸EA树脂在辐射固化领域中是一种重要的感光树脂其中双酚A型环氧丙烯酸树脂的应用最为广泛本文着重研究了该种树脂的合成工艺讨论了原料投料比反应温度催化剂及操作方法等因素对树脂性能的影响并通过正交试验确定了最佳反应条件用NN二甲基苯胺作催化剂合成了酚醛环氧丙烯酸酯通过酸值和环氧值的测定研究了反应时间反应温度反应物配比及催化剂用量对丙烯酸转化
文献资源建设 馆藏构成 文献载体 高校图书馆 藏书采访,"以高校图书馆文献经费使用和馆藏资源状况调查统计数据为依据,分析论述大学图书馆馆藏构成的特点和发展状态;以南京大学图书馆为例,对投入产出效益作实证性研究,以利用率论证各载体文献在资源建设中的合理配置,并提出可操作的工作原则。"
正己烷 毒理学 代谢 毒性," 正己烷(n-hexane)属饱和脂肪烃类,由于其价格低廉,性能良好,在印刷、电子器件清洗、粘胶、制鞋、家具、运动器材及干洗等行业中广泛使用,而且在某些生产过程中,迄今尚未找到其他有效的替代物。按急性毒性分类,正己烷属低毒类[1];但因其高挥发性、高脂溶性,且有蓄积作用和神经系统的毒作用,故被认"
白炭黑 特性 改性 应用,"简述了白炭黑的结构、性质、制备方法,并重点综述了其表面改性的作用、改性机理、常用的改性剂及其近年来在工业生产中的应用情况,分析了国内外白炭黑工业的市场现状及我国与国外的差距,提出了研究和生产发展的方向。"
电化学合成 纳米复合粉体 二氧化钛,结合我国钛白粉现有工业生产技术以钛白粉工业中间产品四氯化钛为原料研究一种新颖的纳米尺寸单组分及复合二氧化钛粉体水溶液电化学合成方法以及制备工程的电化学工艺及其相变微结构规律传统的二氧化钛作为一种常用的化工原料因其卓越的颜色性能被广泛地用作颜料涂料油墨和纸张的增白剂它同时也是重要的功能陶瓷半导体及催化材料特别地二氧化钛纳米化以后由于其粒径小比表面积大界面原子所占比例大而具有更为独特的性能如优异的紫外屏蔽作用透明无毒独特的颜色效应及光化学催化作用等在汽车工业防晒化妆品高级涂料废水处理杀菌环保吸附剂及功能陶瓷材料等方面有着广阔的应用前景发展纳米二氧化钛的新颖制备技术具有学术和工业应用意义对二氧化钛国内外文献和研究现状进行了综合评述在水解法溶胶凝胶法水热法微乳液法等制备技术中二氧化钛的电化学合成技术在纳米颗粒的形成机理复合均匀化等方面具有特殊性以四氧化钛为前驱体用电化学合成方法制备纳米晶二氧化钛粉体的工艺条件进行了系统的研究在本实验条件下小的电流密度有利于金红石相的生成而少量硫酸根离子的引入对生成锐钛矿相粉体有利调整电流密度大小和引入硫酸根离子的量可以得金红石型和锐钛矿型的混合混体研究无定型粉体锐钛矿相粉体以及金红石型粉体随温度的粒径变化情况时发现粉体在400以前晶粒长大相对缓慢400以后晶粒粗化现象严重在室温条件下制备了尺寸为97nm的金红石相92nm的锐钛矿相以及混晶等多种二氧化钛纳米晶粉体在400温度下煅烧可获得不同粒径的纳米晶粉体对纳米氧化铝氧化锆以及二氧化钛与氧化铝和二氧化钛与氧化锆的复合粉体的电化学制备进行了实验研究不经热处理就可获得γAl_2O_3和tZrO_2粉体在500处理2h氧化铝粉体全部以γAl_2O_3存在在950则全部转化为αAl_2O_3其粒度分别为20nm和60nm电化学合成方法制得的氧化锆纳米粉体在常温下以四方相而不是以单斜相存在在400处理2h晶化比较完全在800出现单斜晶相采用电化学合成方法制备了RTiO_2和γAl_2O_3与RTiO_2和tZrO_2的复合粉体及Al_2TiO_5和ZrTiO_4的形成规律在500可得到品化完好的RTiO_2γAl_2O_3复昆明理工大学博士学位论文摘要合粉体950则为R一TIOZa一A1203复合粉体在400可制得晶化完好的R一Tiozt一zro的复合粉体借助化学热力学数据库软件系统对各体系进行了热力学分析对制备各种粉体实验的确定起到了一定的指导作用所得TioA1203复合粉体中氧化铝主要沉积在二氧化钦颗粒的表面且二氧化钦的成分任意可调对TIOZA1203复合凝胶采取进一步的高温处理在1200实现了粉体的完全相变生成纯A12Ti05陶瓷粉体相对常规制备方法条件要缓和得多类似地对TIO亿roZ复合粉体进行锻烧在1200保温3h即得到了zrTIQ陶瓷粉对自制纳米金红石型粉体进行了有机和无机改性研究研究了纳米粉体的分散行为不同分散剂对其分散效果为NaPo36CZHSOHN处5103HZONaoH采用有机改性剂硬脂酸钠和聚乙二醇进行了纳米二氧化钦的有机改性研究获得了改性剂用量浓度等最佳工艺条件的参数对纳米二氧化钦进行了包裹二氧化硅的研究适当调整溶液的pH值滴加硫酸的速度以及改变滴加方式获得了较致密的包覆二氧化钦其分散性和酸溶性都获得了较大程度的改善本研究的铝钦错纳米金属氧化物电化学合成路线制备条件容易控制复合组分容易实现均匀化新相生成和晶化温度较低为以轻金属稀有稀土金属为基的纳米复合氧化物电化学合成提供了一种新思路
喷墨打印 喷墨打印介质 墨水 连续喷墨 按需喷墨,"喷墨打印是一种快速发展的高新信息技术,在非接触性打印领域占有重要地位。喷墨打印机用墨水和介质,也随打印机技术的改进不断更新换代。本文综述了喷墨打印器件、打印介质、打印墨水发展的基本情况,着重探讨了喷墨打印技术新用途的广阔前景,介绍了喷墨打印技术的发展趋势。"
紫外线 固化 油墨,"光固化油墨有许多优点,因此受到薄膜开关、广告、灯箱、光盘、包装印刷等领域的青睐。介绍了光固化油墨的成分、特点、工艺参数及应用范围。同时对操作中的一些关键问题进行了详细论述。"
按需喷墨 电信号 工作原理 喷墨技术 信息转化 脉冲 陶瓷技术 计算机 喷墨头 实地密度," ?问:什么叫按需喷墨? 答:所谓按需喷墨(drop on demand),又叫脉冲给墨,其工作原理是将计算机里的图文信息转化成脉冲电信号,然后,由这些电信号来控制喷墨头的开闭,从而在有图像的地方喷上油墨。当前,最有代表性的按需喷墨技术要属压电陶瓷技术。目前,比较著名的制造按需喷墨头的公司有Aprion公司和Xaar公司。"
圆盘式 紫外线油墨 盘式烘干机 印刷企业 特种光源 保定市 操作人员 印刷操作 高清晰度 操作流程," 保定市特种光源电器厂针对一些印刷企业在圆瓶子等工件上印制条形码等不易被识别的难题,逐步采用紫外线油墨印刷。但是紫外线对人体有伤害,尤其是紫外线干燥时,长期工作在机器旁,对操作人员的皮肤、眼睛等危害更大。"
表面施胶剂 作用机理 种类 应用,"叙述了表面施胶剂的优点,阐述了表面施胶剂的作用机理,分别论述纸张表面补强剂和表面施胶剂种类,同时介绍了国内外表面施胶剂的应用状况,最后提出表面施胶今后的发展方向。"
无机颜料 有机颜料 金属颜料 发展趋势,"综述了钛白、氧化铁、铅铬黄、锌钡白等无机颜料及金属颜料 ,有机颜料的国内外发展概况 ,并阐述了其发展趋势"
水性油墨 生产应用 技术进展 发展趋势,本文介绍了我国水性油墨的应用和技术发展情况。具体介绍了水墨柔印在食品包装中应用。最后 指明了水性油墨的发展趋势。
按需喷墨 喷墨打印头 喷墨打印机 压电式打印头 喷墨技术 打印质量 打印系统 平均故障间隔时间 墨水盒 印品,"随着社会经济的快速发展,给印刷,特别是给围绕直邮业务的印刷服务带来很多机会,由于直邮业务的一些特点,例如:收件人的姓名和地址每一封都是不同的,同时这种与促销、服务结合起来的直邮业务打印总量往往十分庞大,每一次直邮少则一两千份,多则数十万份。小产品中往往蕴涵着大市场,如何满足这个市场的需求,找到控制成本、增加利润的办法非常重要。"
光固化涂料 UV油墨 光引发剂,"光固化涂料是 1种新型的绿色环保节能型涂料 ,近几年发展很快。本文介绍了光固化涂料的基础理论、各个组成部分、国内外的近期发展、研究现状及其应用 ,指出了光固化水性涂料和粉末涂料是其发展的 2大热点 ,同时介绍了光固化涂料在抗蚀剂中的应用 ,制造印刷电路板及制成UV光固化油墨等。"
